t,xx,xy,xz,yx,yy,yz,zx,zy,zz
0.297,0.103872649,0.305095255,0,0.305095255,0.896127343,0,0,0,0
0.298,0.10427738,0.305620045,0,0.305620045,0.895722687,0,0,0,0
0.299,0.104689606,0.306153029,0,0.306153029,0.895310283,0,0,0,0
0.3,0.105135098,0.30672738,0,0.30672738,0.894864738,0,0,0,0
0.301,0.105633728,0.307368249,0,0.307368249,0.894366264,0,0,0,0
0.302,0.106200293,0.308093786,0,0.308093786,0.893799663,0,0,0,0
0.303,0.1068407,0.308910608,0,0.308910608,0.89315927,0,0,0,0
0.304,0.107553884,0.309816122,0,0.309816122,0.892446041,0,0,0,0
0.305,0.108327709,0.310793847,0,0.310793847,0.891672313,0,0,0,0
0.306,0.10914769,0.311824441,0,0.311824441,0.890852332,0,0,0,0
0.307,0.109988846,0.312875837,0,0.312875837,0.890011013,0,0,0,0
0.308,0.110828914,0.31392017,0,0.31392017,0.889171124,0,0,0,0
0.309,0.111642532,0.314926148,0,0.314926148,0.888357461,0,0,0,0
0.31,0.112411037,0.315871477,0,0.315871477,0.887588918,0,0,0,0
0.311,0.113119692,0.316739053,0,0.316739053,0.886880338,0,0,0,0
0.312,0.11376293,0.317523122,0,0.317523122,0.886237085,0,0,0,0
0.313,0.114344411,0.318229079,0,0.318229079,0.885655403,0,0,0,0
0.314,0.114874624,0.318870574,0,0.318870574,0.885125399,0,0,0,0
0.315,0.115371034,0.319469184,0,0.319469184,0.884628952,0,0,0,0
0.316,0.115858592,0.320055246,0,0.320055246,0.884141326,0,0,0,0
0.317,0.116360255,0.320656449,0,0.320656449,0.883639753,0,0,0,0
0.318,0.116900474,0.321301639,0,0.321301639,0.883099377,0,0,0,0
0.319,0.117497124,0.322011709,0,0.322011709,0.882502735,0,0,0,0
0.32,0.118164681,0.322803021,0,0.322803021,0.881835401,0,0,0,0
0.321,0.118907012,0.32367903,0,0.32367903,0.881092846,0,0,0,0
0.322,0.119721539,0.324635625,0,0.324635625,0.880278409,0,0,0,0
0.323,0.120594643,0.325655609,0,0.325655609,0.87940532,0,0,0,0
0.324,0.121508099,0.326716811,0,0.326716811,0.878491759,0,0,0,0
0.325,0.122438438,0.327791482,0,0.327791482,0.87756151,0,0,0,0
0.326,0.123361066,0.328851193,0,0.328851193,0.876638889,0,0,0,0
0.327,0.124252357,0.329869241,0,0.329869241,0.875747681,0,0,0,0
0.328,0.125092417,0.33082363,0,0.33082363,0.874907374,0,0,0,0
0.329,0.12587148,0.331704438,0,0.331704438,0.874128342,0,0,0,0
0.33,0.12658456,0.332506985,0,0.332506985,0.873415291,0,0,0,0
0.331,0.127238289,0.333239704,0,0.333239704,0.872761667,0,0,0,0
0.332,0.127845958,0.333918184,0,0.333918184,0.872153938,0,0,0,0
0.333,0.128427744,0.334565461,0,0.334565461,0.871572256,0,0,0,0
0.334,0.129008412,0.335209221,0,0.335209221,0.870991409,0,0,0,0
0.335,0.129611105,0.335875094,0,0.335875094,0.870388985,0,0,0,0
0.336,0.130257666,0.336586714,0,0.336586714,0.869742453,0,0,0,0
0.337,0.130963996,0.337361008,0,0.337361008,0.869036079,0,0,0,0
0.338,0.131740212,0.338208079,0,0.338208079,0.868259668,0,0,0,0
0.339,0.132583797,0.339124352,0,0.339124352,0.867416143,0,0,0,0
0.34,0.133486942,0.340100229,0,0.340100229,0.866512954,0,0,0,0
0.341,0.134433299,0.341117263,0,0.341117263,0.865566671,0,0,0,0
0.342,0.135399938,0.342150241,0,0.342150241,0.864599943,0,0,0,0
0.343,0.136360809,0.343171328,0,0.343171328,0.863639295,0,0,0,0
0.344,0.137291387,0.344154716,0,0.344154716,0.862708747,0,0,0,0
0.345,0.138169542,0.345077872,0,0.345077872,0.861830592,0,0,0,0
0.346,0.138979942,0.345925599,0,0.345925599,0.861020148,0,0,0,0
0.347,0.139714882,0.346690983,0,0.346690983,0.860285103,0,0,0,0
0.348,0.14037548,0.347376168,0,0.347376168,0.859624505,0,0,0,0
0.349,0.140972987,0.347993642,0,0.347993642,0.859026849,0,0,0,0
0.35,0.141523361,0.348560602,0,0.348560602,0.858476639,0,0,0,0
0.351,0.142048508,0.349099904,0,0.349099904,0.857951641,0,0,0,0
0.352,0.142573893,0.349637806,0,0.349637806,0.857426226,0,0,0,0
0.353,0.143120274,0.350195468,0,0.350195468,0.856879771,0,0,0,0
0.354,0.143709108,0.350794494,0,0.350794494,0.856290817,0,0,0,0
0.355,0.144350693,0.35144496,0,0.35144496,0.855649293,0,0,0,0
0.356,0.145052254,0.35215354,0,0.35215354,0.854947865,0,0,0,0
0.357,0.145807803,0.35291341,0,0.35291341,0.854192138,0,0,0,0
0.358,0.146605104,0.353711784,0,0.353711784,0.853394747,0,0,0,0
0.359,0.147427708,0.354531795,0,0.354531795,0.852572322,0,0,0,0
0.36,0.148253545,0.35535112,0,0.35535112,0.85174644,0,0,0,0
0.361,0.149055734,0.356143415,0,0.356143415,0.850944281,0,0,0,0
0.362,0.149816752,0.356891692,0,0.356891692,0.850183249,0,0,0,0
0.363,0.150517985,0.357578427,0,0.357578427,0.849482,0,0,0,0
0.364,0.151149795,0.358194798,0,0.358194798,0.848850131,0,0,0,0
