t,xx,xy,xz,yx,yy,yz,zx,zy,zz
0.0146,0.0731007159,0.2603017092,0,0.2603017092,0.9268989563,0,0,0,0
0.01465,0.0735700205,0.2610698342,0,0.2610698342,0.9264297485,0,0,0,0
0.0147,0.0740412623,0.2618380189,0,0.2618380189,0.9259586334,0,0,0,0
0.01475,0.0745140463,0.2626056075,0,0.2626056075,0.925485909,0,0,0,0
0.0148,0.0749903917,0.2633758187,0,0.2633758187,0.9250095487,0,0,0,0
0.01485,0.0754687637,0.2641462088,0,0.2641462088,0.9245311618,0,0,0,0
0.0149,0.0759495199,0.2649172843,0,0.2649172843,0.9240501523,0,0,0,0
0.01495,0.0764332265,0.2656899989,0,0.2656899989,0.9235666394,0,0,0,0
0.015,0.0769209936,0.2664660513,0,0.2664660513,0.9230790138,0,0,0,0
0.01505,0.0774116591,0.2672435343,0,0.2672435343,0.922588408,0,0,0,0
0.0151,0.0779061094,0.2680237889,0,0.2680237889,0.9220939279,0,0,0,0
0.01515,0.0784039572,0.2688062191,0,0.2688062191,0.9215960503,0,0,0,0
0.0152,0.0789055824,0.2695913315,0,0.2695913315,0.9210942984,0,0,0,0
0.01525,0.0794114619,0.2703798711,0,0.2703798711,0.9205884933,0,0,0,0
0.0153,0.0799207911,0.2711705267,0,0.2711705267,0.9200791121,0,0,0,0
0.01535,0.0804340169,0.2719639242,0,0.2719639242,0.9195658565,0,0,0,0
0.0154,0.0809511691,0.2727600932,0,0.2727600932,0.9190487862,0,0,0,0
0.01545,0.0814726725,0.2735596299,0,0.2735596299,0.9185272455,0,0,0,0
0.0155,0.0819977149,0.274361223,0,0.274361223,0.9180021286,0,0,0,0
0.01555,0.0825271904,0.2751662135,0,0.2751662135,0.9174727201,0,0,0,0
0.0156,0.0830619484,0.2759758234,0,0.2759758234,0.9169379473,0,0,0,0
0.01565,0.0836003274,0.2767874599,0,0.2767874599,0.9163995385,0,0,0,0
0.0157,0.0841419324,0.2776005566,0,0.2776005566,0.9158580303,0,0,0,0
0.01575,0.0846897662,0.278419435,0,0.278419435,0.9153099656,0,0,0,0
0.0158,0.0852435157,0.2792437077,0,0.2792437077,0.9147564173,0,0,0,0
0.01585,0.0858010426,0.2800700068,0,0.2800700068,0.9141988754,0,0,0,0
0.0159,0.0863641128,0.2809009552,0,0.2809009552,0.9136357903,0,0,0,0
0.01595,0.0869336203,0.2817377448,0,0.2817377448,0.913066268,0,0,0,0
0.016,0.0875087976,0.2825791836,0,0.2825791836,0.9124910831,0,0,0,0
0.01605,0.0880901814,0.2834259868,0,0.2834259868,0.911909759,0,0,0,0
0.0161,0.0886777267,0.2842779756,0,0.2842779756,0.9113221169,0,0,0,0
0.01615,0.0892720297,0.2851359844,0,0.2851359844,0.9107279181,0,0,0,0
0.0162,0.0898739174,0.2860010266,0,0.2860010266,0.9101259708,0,0,0,0
0.01625,0.0904817879,0.2868707478,0,0.2868707478,0.9095181227,0,0,0,0
0.0163,0.0910978168,0.2877481282,0,0.2877481282,0.9089020491,0,0,0,0
0.01635,0.0917204171,0.288630873,0,0.288630873,0.9082794785,0,0,0,0
0.0164,0.0923508629,0.2895205617,0,0.2895205617,0.9076488018,0,0,0,0
0.01645,0.0929887742,0.2904167175,0,0.2904167175,0.9070113301,0,0,0,0
0.0165,0.0936332792,0.2913178205,0,0.2913178205,0.9063665867,0,0,0,0
